iter	RMSE
0	2.13108806
1	2.113362467
2	2.09492275
3	2.075506409
4	2.058055783
5	2.043847253
6	2.030693778
7	2.017147577
8	2.003218411
9	1.99043117
10	1.977032747
11	1.962941037
12	1.949557796
13	1.935537591
14	1.921637568
15	1.911488674
16	1.89936777
17	1.88689452
18	1.872193002
19	1.859019259
20	1.849725402
21	1.839216512
22	1.82809097
23	1.816314935
24	1.803057186
25	1.789471941
26	1.779269399
27	1.768461315
28	1.754947671
29	1.744081441
30	1.73395868
31	1.722179318
32	1.713062179
33	1.703665687
34	1.693178146
35	1.682512592
36	1.670245188
37	1.65989009
38	1.652221496
39	1.642162941
40	1.632982415
41	1.623324338
42	1.613920233
43	1.607800241
44	1.599328191
45	1.590789158
46	1.581844051
47	1.573429005
48	1.564427522
49	1.558663147
50	1.551825528
51	1.541596926
52	1.531834262
53	1.521806687
54	1.515583047
55	1.508120135
56	1.500362649
57	1.493456005
58	1.488258011
59	1.479695512
60	1.471612513
61	1.461935528
62	1.457663395
63	1.449532115
64	1.441793763
65	1.431858598
66	1.424082271
67	1.417240512
68	1.411767755
69	1.40401656
70	1.398141643
71	1.391580091
72	1.385072953
73	1.377967578
74	1.370316316
75	1.364083165
76	1.358358211
77	1.353318242
78	1.347079469
79	1.340423547
80	1.334677723
81	1.331790509
82	1.325409215
83	1.321324192
84	1.316547489
85	1.3132879
86	1.304440873
87	1.299202962
88	1.292606403
89	1.288536313
90	1.28362287
91	1.277131224
92	1.271213031
93	1.265175226
94	1.257248465
95	1.253806991
96	1.251279162
97	1.245856455
98	1.240638301
99	1.234786063
100	1.229247407
101	1.223197405
102	1.21929502
103	1.212927515
104	1.208898315
105	1.204425986
106	1.19713078
107	1.190442605
108	1.186192204
109	1.180778789
110	1.178020763
111	1.173473875
112	1.167152113
113	1.162295308
114	1.156371184
115	1.152400627
116	1.147751634
117	1.144748955
118	1.141033542
119	1.134951689
120	1.130122226
121	1.12584637
122	1.121700904
123	1.118192778
124	1.114134487
125	1.110101816
126	1.106877292
127	1.102431709
128	1.098315919
129	1.094230502
130	1.087957672
131	1.08312005
132	1.079227401
133	1.0724528
134	1.068448937
135	1.064526622
136	1.059510291
137	1.055172256
138	1.051054137
139	1.047375434
140	1.041706833
141	1.038294023
142	1.034203917
143	1.029459906
144	1.026361722
145	1.023412408
146	1.018461918
147	1.015051781
148	1.011338094
149	1.008030393
150	1.003767539
151	0.9993557102
152	0.9963329112
153	0.9935938391
154	0.9901379766
155	0.9840477439
156	0.9806996869
157	0.9771231207
158	0.9745685152
159	0.9718411639
160	0.9680636435
161	0.9641559152
162	0.9598640134
163	0.9553189996
164	0.9517851846
165	0.9476736824
166	0.9436783503
167	0.9395977613
168	0.9345708173
169	0.9311765891
170	0.9279209481
171	0.9251636019
172	0.9212263094
173	0.9176324713
174	0.9138915257
175	0.9105627637
176	0.9062595429
177	0.9025506292
178	0.8980317421
179	0.8928129692
180	0.8871682125
181	0.8858978462
182	0.8828914934
183	0.8793303446
184	0.8765111215
185	0.8750296084
186	0.871227413
187	0.8677622289
188	0.8638169843
189	0.860064266
