iter	RMSE
0	2.169337908
1	2.168501557
2	2.167460121
3	2.166626591
4	2.165811872
5	2.164907319
6	2.16396171
7	2.163359419
8	2.162586125
9	2.161687653
10	2.160671937
11	2.159775521
12	2.158808125
13	2.157979846
14	2.157195063
15	2.156332303
16	2.155568329
17	2.154699174
18	2.153546697
19	2.152553014
20	2.15175422
21	2.150943845
22	2.149975297
23	2.149027149
24	2.148179415
25	2.147348324
26	2.146534163
27	2.145694802
28	2.144602138
29	2.143754129
30	2.143019236
31	2.142156049
32	2.14095652
33	2.140249651
34	2.139525407
35	2.138839763
36	2.13783106
37	2.137002841
38	2.136142819
39	2.135388357
40	2.134495849
41	2.133410134
42	2.132523613
43	2.131683684
44	2.130810093
45	2.129662083
46	2.128651749
47	2.127642341
48	2.126790321
49	2.126029814
50	2.125271046
51	2.124279178
52	2.123419858
53	2.122485552
54	2.121588912
55	2.120681621
56	2.119984318
57	2.119141237
58	2.118103653
59	2.117211451
60	2.116235951
61	2.115501757
62	2.114740862
63	2.113936574
64	2.113007709
65	2.112306356
66	2.111692088
67	2.111032758
68	2.110133157
69	2.109205077
70	2.108429057
71	2.107545637
72	2.106730513
73	2.105893811
74	2.105108453
75	2.104229007
76	2.103313336
77	2.102299616
78	2.101354498
79	2.10048225
80	2.099607199
81	2.098714107
82	2.097642391
83	2.096982966
84	2.096093239
85	2.09513092
86	2.09439735
87	2.093785977
88	2.093190378
89	2.092414681
90	2.09143787
91	2.09064789
92	2.08984754
93	2.088982425
94	2.088000746
95	2.087147497
96	2.086265849
97	2.085646693
98	2.084805534
99	2.084172758
100	2.083224551
101	2.08223794
102	2.081569743
103	2.08074569
104	2.080094175
105	2.079148404
106	2.078330324
107	2.077391994
108	2.07653624
109	2.075688679
110	2.074771806
111	2.073951683
112	2.07304951
113	2.072167091
114	2.071248449
115	2.070424853
116	2.069458706
117	2.068542102
118	2.067802634
119	2.067069058
120	2.066294735
121	2.065550835
122	2.064641488
123	2.063779791
124	2.06306159
125	2.062149859
126	2.061082482
127	2.060377346
128	2.059661766
129	2.058653977
130	2.057955057
131	2.057311071
132	2.056330807
133	2.055605337
134	2.054903593
135	2.054145526
136	2.053347777
137	2.052449015
138	2.051631686
139	2.050709512
140	2.04981901
141	2.048936285
142	2.048094577
143	2.047239254
144	2.046482642
145	2.045593439
146	2.044916671
147	2.044160853
148	2.043397981
149	2.042295849
150	2.041545347
151	2.040931842
152	2.040148285
153	2.039316081
154	2.038721913
155	2.037949057
156	2.037171813
157	2.036530576
158	2.03573922
159	2.035041698
160	2.034106913
161	2.033371706
162	2.03273232
163	2.031733494
164	2.031048962
165	2.030196934
166	2.029486664
167	2.028836083
168	2.027923937
169	2.026938764
170	2.026193438
171	2.025396961
172	2.024621052
173	2.023694664
174	2.022941381
175	2.022159695
176	2.021289895
177	2.020558575
178	2.019658714
179	2.019037799
180	2.018318143
181	2.017458823
182	2.016532214
183	2.015707727
184	2.014826665
185	2.014228702
186	2.01357084
187	2.012688554
188	2.011746953
189	2.010694366
190	2.009909535
191	2.008969377
192	2.008326525
193	2.007428873
194	2.006497947
195	2.005849909
196	2.005006043
197	2.004290026
198	2.00357202
199	2.002879179

1283
