iter	Passed	Remaining
0	138	138807
1	139	69764
2	140	46760
3	141	35277
4	142	28385
5	143	23789
6	144	20488
7	145	18008
8	146	16106
9	147	14596
10	148	13348
11	149	12303
12	150	11411
13	151	10654
14	152	10009
15	153	9436
16	154	8907
17	154	8455
18	155	8049
19	156	7681
20	157	7361
21	159	7068
22	160	6796
23	160	6543
24	161	6306
25	162	6087
26	163	5891
27	164	5706
28	165	5537
29	165	5361
30	166	5208
31	167	5066
32	168	4932
33	169	4809
34	170	4695
35	171	4583
36	172	4476
37	172	4374
38	173	4278
39	174	4189
40	182	4259
41	183	4175
42	183	4094
43	184	4014
44	185	3938
45	186	3870
46	187	3800
47	188	3735
48	189	3675
49	190	3615
50	191	3557
51	192	3503
52	193	3457
53	194	3409
54	195	3362
55	196	3314
56	212	3511
57	213	3461
58	213	3412
59	214	3365
60	215	3323
61	216	3279
62	217	3235
63	218	3193
64	219	3153
65	220	3113
66	220	3076
67	221	3041
68	222	3005
69	223	2970
70	224	2937
71	225	2904
72	226	2877
73	227	2846
74	228	2815
75	229	2785
76	229	2755
77	230	2727
78	231	2693
79	231	2666
80	232	2642
81	233	2616
82	234	2591
83	235	2568
84	236	2546
85	237	2527
86	241	2529
87	241	2503
88	241	2476
89	242	2454
90	243	2431
91	244	2412
92	245	2392
93	246	2372
94	247	2353
95	247	2334
96	248	2317
97	249	2299
98	250	2281
99	251	2263
100	252	2245
101	253	2228
102	254	2212
103	255	2196
104	256	2182
105	256	2166
106	257	2150
107	258	2134
108	259	2119
109	260	2106
110	261	2092
111	262	2078
112	262	2064
113	263	2050
114	264	2036
115	265	2023
116	266	2010
117	267	1997
118	268	1985
119	269	1972
120	269	1960
121	270	1948
122	271	1936
123	272	1926
124	273	1914
125	274	1902
126	275	1890
127	275	1879
128	277	1870
129	278	1860
130	278	1849
131	279	1840
132	280	1831
133	281	1822
134	283	1813
135	283	1801
136	284	1792
137	285	1783
138	286	1774
139	287	1766
140	288	1758
141	289	1749
142	290	1740
143	291	1731
144	292	1722
145	292	1713
146	293	1705
147	294	1697
148	295	1689
149	296	1680
150	297	1672
151	298	1663
152	299	1656
153	300	1649
154	301	1641
155	302	1634
156	302	1626
157	303	1618
158	304	1611
159	305	1604
160	306	1597
161	307	1590
162	308	1582
163	309	1575
164	309	1568
165	310	1561
166	311	1555
167	312	1548
168	313	1541
169	314	1535
170	315	1528
171	316	1522
172	317	1515
173	317	1508
174	318	1502
175	319	1495
176	320	1488
177	321	1482
178	322	1478
179	323	1473
180	324	1467
181	325	1461
182	326	1455
183	327	1451
184	328	1446
185	329	1441
186	330	1435
187	331	1429
188	331	1422
189	332	1416
190	333	1411
191	334	1406
192	335	1400
193	335	1395
194	336	1389
195	337	1384
196	338	1379
197	339	1374
198	340	1370
199	341	1365
200	342	1360
201	343	1355
202	343	1350
203	344	1345
204	345	1341
205	346	1336
206	347	1331
207	348	1326
208	349	1321
209	350	1318
210	351	1313
211	352	1309
212	352	1304
213	353	1299
214	354	1294
215	355	1291
216	356	1287
217	357	1282
218	358	1277
219	359	1273
220	360	1269
221	361	1265
222	362	1261
223	362	1257
224	363	1252
225	364	1248
226	365	1244
227	366	1241
228	367	1237
229	368	1235
230	369	1231
231	370	1227
232	371	1223
233	372	1220
234	373	1216
235	374	1213
236	375	1209
237	376	1205
238	377	1201
239	378	1198
240	379	1194
241	380	1191
242	381	1187
243	381	1183
244	382	1179
245	383	1176
246	384	1172
247	385	1169
248	386	1165
249	387	1161
250	388	1158
251	388	1154
252	389	1151
253	390	1147
254	391	1143
255	392	1140
256	393	1136
257	394	1133
258	395	1130
259	395	1126
260	396	1123
261	397	1120
262	398	1116
263	399	1113
264	400	1110
265	401	1107
266	402	1103
267	402	1100
268	403	1096
269	404	1093
270	405	1090
271	406	1088
272	407	1085
273	408	1082
274	409	1079
275	410	1076
276	411	1074
277	427	1109
278	428	1106
279	429	1103
280	430	1100
281	430	1097
282	431	1093
283	432	1090
284	433	1087
285	434	1084
286	435	1081
287	436	1078
288	436	1074
