iter	Passed	Remaining
0	1	1111
1	2	1142
2	3	1122
3	4	1089
4	5	1100
5	6	1113
6	7	1118
7	9	1124
8	10	1123
9	11	1112
10	12	1104
11	13	1093
12	14	1101
13	15	1094
14	16	1088
15	17	1053
16	17	1018
17	18	1017
18	19	1015
19	20	1013
20	21	988
21	22	983
22	23	984
23	24	987
24	25	992
25	26	993
26	27	994
27	28	985
28	29	986
29	30	989
30	31	992
31	32	991
32	34	999
33	35	1002
34	36	1003
35	37	1008
36	38	1010
37	39	1009
38	41	1010
39	42	1010
40	43	1009
41	44	1008
42	45	1007
43	46	1008
44	47	1013
45	48	1012
46	49	1013
47	51	1012
48	52	1016
49	53	1017
50	54	1016
51	55	1018
52	56	1018
53	58	1019
54	59	1018
55	60	1017
56	61	1018
57	62	1018
58	63	1019
59	65	1020
60	66	1022
61	67	1021
62	68	1019
63	69	1018
64	70	1017
65	71	1016
66	72	1015
67	74	1016
68	75	1015
69	76	1015
70	77	1012
71	78	1009
72	79	1005
73	80	1003
74	81	1001
75	82	999
76	83	996
77	84	994
78	85	991
79	85	988
80	86	986
81	87	983
82	88	980
83	89	978
84	90	977
85	91	971
86	92	968
87	93	972
88	94	971
89	95	967
90	96	965
91	97	963
92	98	960
93	99	956
94	100	954
95	100	950
96	101	943
97	102	940
98	103	939
99	104	937
100	104	934
101	105	931
102	106	928
103	107	926
104	108	925
105	109	923
106	110	920
107	111	918
108	112	915
109	112	913
110	113	911
111	114	909
112	115	907
113	116	904
114	117	903
115	118	901
116	119	900
117	120	898
118	121	897
119	122	896
120	123	898
121	124	896
122	125	896
123	126	894
124	127	891
125	128	889
126	128	886
127	129	884
128	130	882
129	131	881
130	132	878
131	133	876
132	134	874
133	134	872
134	135	870
135	136	869
136	137	868
137	138	867
138	139	866
139	140	865
140	141	864
141	142	863
142	143	862
143	145	862
144	146	861
145	147	861
146	148	860
147	149	859
148	150	858
149	151	858
150	152	858
151	153	857
152	154	856
153	155	854
154	156	852
155	157	850
156	158	848
157	159	847
158	159	846
159	160	844
160	161	842
161	162	840
162	163	838
163	164	836
164	164	834
165	165	832
166	166	831
167	167	829
168	168	827
169	169	825
170	169	824
171	170	822
172	171	820
173	172	819
174	173	817
175	174	816
176	175	815
177	176	814
178	177	813
179	178	812
180	179	810
181	180	809
182	181	808
183	181	806
184	182	804
185	183	803
186	184	801
187	185	799
188	186	798
189	186	796
190	187	795
191	188	793
192	189	791
193	190	789
194	190	788
195	191	787
196	192	786
197	193	784
198	194	783
199	195	781
200	196	780
201	197	779
202	198	777
203	198	776
204	199	774
205	200	773
206	201	771
207	202	770
208	203	769
209	204	767
210	204	766
211	205	764
212	206	761
213	206	760
214	207	759
215	208	758
216	209	757
217	210	755
218	211	755
219	212	753
220	213	752
221	214	751
222	215	750
223	216	748
224	216	747
225	217	745
226	218	744
227	219	742
228	220	741
229	221	740
230	221	739
231	222	737
232	223	736
233	224	734
234	225	733
235	226	732
236	226	730
237	227	729
238	228	727
239	229	726
240	230	725
241	231	724
242	232	722
243	232	721
244	233	720
245	234	720
246	236	719
247	237	718
248	238	718
249	239	717
250	240	717
251	241	715
252	241	713
253	242	712
254	243	711
255	244	709
256	245	708
257	245	707
258	246	706
259	248	706
260	248	704
261	250	704
262	251	703
263	251	702
264	252	700
265	253	699
266	254	698
267	255	697
268	256	695
269	256	694
270	257	693
271	258	691
272	259	690
273	260	689
274	260	687
275	261	686
276	262	684
277	262	682
278	263	679
279	263	678
280	264	677
281	265	676
282	266	674
283	267	673
284	268	672
285	268	670
286	269	669
287	270	667
288	271	667
289	272	666
290	272	664
291	273	663
292	274	662
293	275	661
294	275	659
295	276	657
296	277	656
297	278	655
298	278	653
299	279	652
300	280	651
301	281	650
302	282	649
303	282	647
304	283	646
305	284	644
306	285	643
307	286	642
308	287	641
309	287	640
310	288	639
311	289	638
312	290	637
313	291	635
314	292	635
315	292	634
316	293	633
317	295	632
318	295	631
319	296	630
320	297	628
321	298	627
322	298	626
323	299	625
324	299	622
325	300	621
326	301	620
327	302	619
328	303	619
329	304	617
330	305	616
331	306	615
332	306	614
333	307	613
334	308	612
335	309	611
336	310	610
337	311	609
338	311	608
339	312	607
340	313	606
341	314	605
342	315	604
343	316	603
344	317	602
345	317	600
346	318	599
347	318	597
348	319	596
349	320	595
350	321	594
351	322	593
352	323	592
353	323	591
354	325	590
355	325	589
356	326	588
357	327	587
358	328	586
359	329	585
360	330	584
361	330	583
362	331	582
363	332	581
364	333	580
365	334	579
366	335	578
367	336	577
368	337	576
369	338	575
370	339	575
371	340	574
372	340	573
373	341	572
374	342	571
375	343	570
376	344	569
377	345	568
378	346	567
379	347	566
380	348	565
381	348	564
382	349	563
383	350	561
384	350	560
385	351	558
386	352	557
387	352	555
388	353	555
389	354	554
390	355	553
391	355	551
392	356	550
393	357	549
394	358	549
395	359	548
396	360	547
397	361	546
398	361	545
399	362	544
400	363	543
401	364	542
402	365	541
403	366	540
404	366	539
405	367	538
406	368	537
407	369	536
408	370	535
409	371	534
410	372	533
411	372	532
412	373	531
413	374	530
414	375	529
415	376	528
416	377	527
417	378	526
418	379	525
419	380	524
420	380	523
421	381	523
422	382	522
423	383	520
424	384	519
425	384	518
426	385	517
427	386	516
428	387	515
429	388	514
430	389	513
431	390	512
432	390	511
433	391	510
434	392	510
435	393	509
436	394	508
437	395	507
438	396	506
439	396	505
440	397	504
441	398	503
442	399	502
443	399	500
444	400	498
445	400	497
446	401	496
447	402	495
448	403	495
449	404	494
450	405	493
451	405	492
452	406	491
453	407	490
454	408	489
455	409	488
456	410	487
457	411	486
458	411	485
459	412	484
460	413	483
461	414	482
462	415	481
463	415	480
464	416	479
465	417	478
466	418	477
467	419	476
468	420	475
469	421	474
470	422	474
471	423	473
472	424	472
473	425	471
