iter	Passed	Remaining
0	46	9190
1	65	6437
2	67	4448
3	70	3453
4	71	2793
5	78	2534
6	104	2882
7	125	3018
8	149	3170
9	171	3253
10	172	2958
11	195	3062
12	196	2830
13	220	2927
14	257	3179
15	279	3217
16	306	3301
17	313	3168
18	314	2997
19	317	2858
20	343	2924
21	370	2997
22	395	3043
23	398	2925
24	424	2973
25	451	3023
26	524	3362
27	557	3427
28	561	3311
29	586	3320
30	593	3234
31	594	3120
32	594	3010
33	620	3029
34	652	3078
35	684	3117
36	717	3162
37	720	3070
38	728	3006
39	758	3034
40	766	2972
41	767	2888
42	798	2916
43	803	2847
44	805	2773
45	838	2806
46	914	2976
47	955	3026
48	990	3051
49	1028	3086
50	1082	3162
51	1114	3172
52	1170	3246
53	1213	3281
54	1283	3383
55	1351	3474
56	1393	3495
57	1443	3533
58	1462	3494
59	1487	3471
60	1490	3395
61	1528	3401
62	1568	3410
63	1595	3389
64	1617	3359
65	1639	3328
66	1661	3298
67	1703	3306
68	1745	3314
69	1748	3247
70	1778	3230
71	1812	3221
72	1817	3162
73	1921	3272
74	1945	3243
75	1979	3229
76	1990	3178
77	1991	3115
78	1993	3052
79	1996	2994
80	2025	2975
81	2026	2916
82	2027	2857
83	2055	2838
84	2082	2817
85	2117	2806
86	2144	2786
87	2166	2757
88	2190	2731
89	2223	2717
90	2248	2693
91	2269	2664
92	2270	2612
93	2272	2562
94	2274	2513
95	2302	2494
96	2333	2478
97	2441	2540
98	2509	2560
99	2534	2534
100	2538	2488
101	2549	2449
102	2579	2429
103	2602	2402
104	2627	2376
105	2632	2334
106	2663	2315
107	2665	2270
108	2666	2225
109	2724	2229
110	2754	2208
111	2796	2197
112	2834	2182
113	2854	2153
114	2874	2124
115	2919	2114
116	2954	2095
117	2984	2073
118	3020	2055
119	3063	2042
120	3107	2028
121	3127	1999
122	3164	1981
123	3202	1962
124	3228	1937
125	3256	1912
126	3257	1872
127	3282	1846
128	3306	1819
129	3331	1793
130	3355	1767
131	3377	1739
132	3378	1701
133	3404	1676
134	3429	1651
135	3450	1623
136	3472	1596
137	3490	1568
138	3519	1544
139	3522	1509
140	3546	1484
141	3582	1463
142	3603	1436
143	3625	1409
144	3646	1383
145	3652	1351
146	3676	1325
147	3696	1298
148	3718	1272
149	3718	1239
150	3736	1212
151	3764	1188
152	3786	1163
153	3793	1133
154	3815	1107
155	3824	1078
156	3844	1052
157	3874	1029
158	3878	1000
159	3902	975
160	3921	950
161	3940	924
162	3958	898
163	3961	869
164	3990	846
165	4014	822
166	4020	794
167	4042	770
168	4043	741
169	4046	714
170	4061	688
171	4063	661
172	4082	637
173	4101	612
174	4120	588
175	4122	562
176	4154	539
177	4174	515
178	4174	489
179	4191	465
180	4205	441
181	4219	417
182	4233	393
183	4247	369
184	4261	345
185	4274	321
186	4288	298
187	4301	274
188	4315	251
189	4316	227
190	4329	204
191	4343	180
192	4356	158
193	4356	134
194	4358	111
195	4371	89
196	4372	66
197	4385	44
198	4398	22
199	4401	0
544	22
199	4572	0
0
996	0
